mode,N,threads,run,seconds
omp_indivisible,180000,8,9,21.070303
omp_indivisible,180000,8,10,19.038241
omp_indivisible,180000,16,1,17.825685
omp_indivisible,180000,16,2,18.800254
omp_indivisible,180000,16,3,19.464436
omp_indivisible,180000,16,4,18.363403
omp_indivisible,180000,16,5,18.052392
omp_indivisible,180000,16,6,19.057169
omp_indivisible,180000,16,7,19.539667
omp_indivisible,180000,16,8,18.099470
omp_indivisible,180000,16,9,17.816081
omp_indivisible,180000,16,10,17.944811
omp_cuadrantes,180000,1,1,49.109484
omp_cuadrantes,180000,1,2,49.415772
omp_cuadrantes,180000,1,3,49.363043
omp_cuadrantes,180000,1,4,49.103894
omp_cuadrantes,180000,1,5,49.533077
omp_cuadrantes,180000,1,6,49.798812
